Truth,Decoded
Le auguro una buona giornata,le auguro sono giornata
Va bene grazie lo stesso,va bene e mario io stesso
Buonasera io sono Mario,buonasera io so mario
Si grazie e arrivederci,si grazie io so
Prego,pero
Prendiamo un caffe al bar,prendero un che lo bar
Purtroppo non lo so pero potresti chiedere all autista,purtro io io io pero si si io al costa
Prendiamo un caffe al bar,prendiamo un a al mario
Le auguro una buona giornata,le auguro buona giornata
E in offerta costa dieci euro,e in ora ora dieci euro
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare a salve minuto
Salve quanto costa quell articolo,salve io io stai al articolo
Tutto bene tu,tutto bene tu
A che ora arriva il pullman,a e ora a lman
Quanto costa il biglietto,quanto cotcal lieto
Piacere Luigi come stai,piacere luigi che stai
