Truth,Decoded
Buonasera io sono Mario,tutto io io io lo mario
Buongiorno io sono Mario,quanto io io mario
Prendiamo un caffe al bar,prego io lo a
A che ora arriva il pullman,le tu e lo una
Piacere Luigi come stai,pureoi io io io mario
E in offerta costa dieci euro,al tu io
Si grazie e arrivederci,due tieso
Certo ecco a lei vuole un sacchetto,certo io a io io lo mario
Perfetto vorrei comprarne due.,pero lo lo lei
Quanto costa il biglietto,quanto io ora lo tutto
Prego,pero
Tutto bene grazie,tutto e e io
Dovrebbe arrivare tra qualche minuto,vtnber a lo minuto
Va bene grazie lo stesso,bar lo mieso
Salve quanto costa quell articolo,salve quanto io lo stieto
Purtroppo non lo so pero potresti chiedere all autista,purtro io io io pero so il acihista
