Truth,Decoded
Le auguro una buona giornata,le euro buona giornata
Va bene grazie lo stesso,va bene eagazi lo stesso
Buonasera io sono Mario,buonasera io so mario
Si grazie e arrivederci,si grazie e so
Prego,pero
Prendiamo un caffe al bar,prendero un che lo bar
Purtroppo non lo so pero potresti chiedere all autista,purtro io io so pero si si io al costa
Prendiamo un caffe al bar,prendiamo un a al un
Le auguro una buona giornata,le euro buona giornata
E in offerta costa dieci euro,e in ora ora dieci euro
Dovrebbe arrivare tra qualche minuto,dovrebearivare a che minuto
Salve quanto costa quell articolo,salve quanto io stai lo articolo
Tutto bene tu,tutto bene tu
A che ora arriva il pullman,a che ora mario ilman
Quanto costa il biglietto,quanto costa e ilieto
Piacere Luigi come stai,piacere luigi come stai
