Truth,Decoded
Le auguro una buona giornata,le a e giornata
Va bene grazie lo stesso,e tra io
Buonasera io sono Mario,tuoen mario io io bar
Si grazie e arrivederci,vire e e e
Prego,pero
Prendiamo un caffe al bar,lei io a a
Purtroppo non lo so pero potresti chiedere all autista,pururaopo io io io si che a costa
Prendiamo un caffe al bar,prego a a a in
Le auguro una buona giornata,tu a giornata
E in offerta costa dieci euro,e tu e a a si quanto
Dovrebbe arrivare tra qualche minuto,drebara e minuto
Salve quanto costa quell articolo,salve un io a e tiolo
Tutto bene tu,tutto e
A che ora arriva il pullman,tu tra a lo
Quanto costa il biglietto,tutto lo e tutto
Piacere Luigi come stai,puerea a
