Truth,Decoded
Tutto bene tu,tutto bene grazie
Buonasera io sono Mario,buonasera io sono mario
Certo ecco a lei vuole un sacchetto,a che lo a io a
E in offerta costa dieci euro,si grazie e e e
A che ora arriva il pullman,io mario sono bar
Tutto bene grazie,tutto le grazie
Salve quanto costa quell articolo,salve un tosael articolo
Va bene grazie lo stesso,si bene aziv lo stesso
Le auguro una buona giornata,perfetto io euro e lo a
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare qualche minuto
Prego,tutto bene tu
Purtroppo non lo so pero potresti chiedere all autista,prtopn e io io lo adutito
"Certo volentieri, io lo prendero macchiato",e renepenl due
Si grazie e arrivederci,si graenedi
Prendiamo un caffe al bar,prendiamo un a al bar
Piacere Luigi come stai,piacereoali come stai
