Truth,Decoded
Purtroppo non lo so pero potresti chiedere all autista,prtopo lo io io io lo e e lo autista
Tutto bene grazie,tutto bene
E in offerta costa dieci euro,e bene io io e si euro
Va bene grazie lo stesso,va bene tra lo stesso
Piacere Luigi come stai,piacere lo io io
Dovrebbe arrivare tra qualche minuto,dovrebbe bene bar e bene
"Certo volentieri, io lo prendero macchiato",pero bene e io e il arhito
Prendiamo un caffe al bar,prego un a lo bar
Prego,e
Salve quanto costa quell articolo,salve quanto lo mtinolo
Buonasera io sono Mario,bunario io mario
Perfetto vorrei comprarne due.,pero vorrei che le
Si grazie e arrivederci,prego
Buonasera io sono Mario,un io e
Va bene grazie lo stesso,pero e
Dovrebbe arrivare tra qualche minuto,certo a a e
