Truth,Decoded
Tutto bene tu,quotoio all grazie
Buonasera io sono Mario,buonasera io so il mario
Certo ecco a lei vuole un sacchetto,e e lo a il il a
E in offerta costa dieci euro,a vuole bar due
A che ora arriva il pullman,e non orarari all mario
Tutto bene grazie,un grazie
Salve quanto costa quell articolo,si grangrt tra io
Va bene grazie lo stesso,il gqaoe e a aziv e io
Le auguro una buona giornata,all quanto prego euro e lo a
Dovrebbe arrivare tra qualche minuto,pero e arrivare che minuto
Prego,prego lei
Purtroppo non lo so pero potresti chiedere all autista,prego io lei io lo io il autista
"Certo volentieri, io lo prendero macchiato",e quanto il due
Si grazie e arrivederci,piae io bene due
Prendiamo un caffe al bar,prendiamo un caffe al bar
Piacere Luigi come stai,piacereoli io stai
