Truth,Decoded
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo io pero e e lo autista
Tutto bene grazie,tutto e grazie
E in offerta costa dieci euro,e in ora costa dieci euro
Va bene grazie lo stesso,va bene lei lo stesso
Piacere Luigi come stai,piacere lo che si
Dovrebbe arrivare tra qualche minuto,dovrebbe e arrivare e che minuto
"Certo volentieri, io lo prendero macchiato",certo volenini lo pero pero macchiato
Prendiamo un caffe al bar,prendiamo un e lo bar
Prego,e
Salve quanto costa quell articolo,salve quanto io si lo articolo
Buonasera io sono Mario,buonasera io so mario
Perfetto vorrei comprarne due.,pero vorrei io al due
Si grazie e arrivederci,e a
Buonasera io sono Mario,buona io so mario
Va bene grazie lo stesso,si grazie a e
Dovrebbe arrivare tra qualche minuto,si greoe arare due
