Truth,Decoded
Buonasera io sono Mario,buona io so mario
Buongiorno io sono Mario,ruoio io so mario
Prendiamo un caffe al bar,pero io un e bar
A che ora arriva il pullman,lo e a bar
Piacere Luigi come stai,pieren io io io mario
E in offerta costa dieci euro,e e certo
Si grazie e arrivederci,e due elieso
Certo ecco a lei vuole un sacchetto,certo a a io lo mario
Perfetto vorrei comprarne due.,perfetto io lo che io
Quanto costa il biglietto,un io lo aieto
Prego,pero
Tutto bene grazie,tutto bene
Dovrebbe arrivare tra qualche minuto,dovrebear a lo minelso
Va bene grazie lo stesso,vrebeare mieso
Salve quanto costa quell articolo,salve io io lo tutto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo io io io pero osel autista
