Truth,Decoded
Tutto bene tu,quntoto bene e grazie
Buonasera io sono Mario,bunsra io sono mario
Certo ecco a lei vuole un sacchetto,a e e stai io il stai
E in offerta costa dieci euro,si grarivasarde io
A che ora arriva il pullman,prego mario so bar
Tutto bene grazie,le quanto io il igltieto
Salve quanto costa quell articolo,salve un io stoel rtiolso
Va bene grazie lo stesso,si grazie eazi lo stesso
Le auguro una buona giornata,salve quoreo euro e al a
Dovrebbe arrivare tra qualche minuto,dovre arrivare qualche minuto
Prego,prego
Purtroppo non lo so pero potresti chiedere all autista,pertrpopnon so certo prti il autista
"Certo volentieri, io lo prendero macchiato",e renetio coprl io
Si grazie e arrivederci,si grazie rarededi
Prendiamo un caffe al bar,prendiamo un caffe al bar
Piacere Luigi come stai,piacere lo come stai
