Truth,Decoded
Tutto bene tu,quntoco saeagl grazie
Buonasera io sono Mario,buonasera iosol mario
Certo ecco a lei vuole un sacchetto,pero a raiv io una
E in offerta costa dieci euro,preorevo sargl a
A che ora arriva il pullman,prego mario all bar
Tutto bene grazie,quanto io so biglietto
Salve quanto costa quell articolo,va qatsostael io
Va bene grazie lo stesso,e grazie grazie edecit
Le auguro una buona giornata,le auguro uroaf al a
Dovrebbe arrivare tra qualche minuto,porebobne arrivare che minuto
Prego,prego
Purtroppo non lo so pero potresti chiedere all autista,prtovpnener popl autista
"Certo volentieri, io lo prendero macchiato",peretoel io
Si grazie e arrivederci,si graredeai
Prendiamo un caffe al bar,prendiamo un cafeal bar
Piacere Luigi come stai,pereoleri lo mario
